CST Airfoil
0.966389 0.003719
0.933352 0.007172
0.900891 0.010866
0.869003 0.014740
0.837690 0.018726
0.806952 0.022749
0.776788 0.026736
0.747199 0.030614
0.718184 0.034318
0.689744 0.037790
0.661879 0.040979
0.634588 0.043848
0.607871 0.046367
0.581729 0.048518
0.556162 0.050293
0.531169 0.051692
0.506751 0.052723
0.482907 0.053401
0.459638 0.053748
0.436943 0.053786
0.414823 0.053544
0.393278 0.053051
0.372307 0.052338
0.351910 0.051432
0.332088 0.050365
0.312841 0.049163
0.294168 0.047851
0.276070 0.046453
0.258546 0.044989
0.241597 0.043477
0.225223 0.041934
0.209423 0.040371
0.194197 0.038800
0.179546 0.037228
0.165470 0.035662
0.151968 0.034107
0.139041 0.032564
0.126688 0.031037
0.114910 0.029525
0.103706 0.028027
0.093077 0.026542
0.083022 0.025070
0.073542 0.023607
0.064637 0.022151
0.056306 0.020700
0.048549 0.019251
0.041367 0.017803
0.034760 0.016352
0.028727 0.014899
0.023269 0.013439
0.018386 0.011974
0.014076 0.010501
0.010342 0.009021
0.007182 0.007532
0.004596 0.006036
0.002585 0.004534
0.001149 0.003026
0.000287 0.001514
0.000000 0.000505
0.000287 -0.001514
0.001149 -0.003025
0.002585 -0.004530
0.004596 -0.006025
0.007182 -0.007507
0.010342 -0.008971
0.014076 -0.010411
0.018386 -0.011823
0.023269 -0.013202
0.028727 -0.014540
0.034760 -0.015831
0.041367 -0.017070
0.048549 -0.018248
0.056306 -0.019359
0.064637 -0.020394
0.073542 -0.021347
0.083022 -0.022209
0.093077 -0.022974
0.103706 -0.023633
0.114910 -0.024181
0.126688 -0.024610
0.139041 -0.024914
0.151968 -0.025089
0.165470 -0.025132
0.179546 -0.025039
0.194197 -0.024811
0.209423 -0.024447
0.225223 -0.023952
0.241597 -0.023330
0.258546 -0.022589
0.276070 -0.021740
0.294168 -0.020795
0.312841 -0.019770
0.332088 -0.018682
0.351910 -0.017552
0.372307 -0.016402
0.393278 -0.015256
0.414823 -0.014139
0.436943 -0.013074
0.459638 -0.012087
0.482907 -0.011198
0.506751 -0.010429
0.531169 -0.009793
0.556162 -0.009301
0.581729 -0.008956
0.607871 -0.008752
0.634588 -0.008677
0.661879 -0.008706
0.689744 -0.008806
0.718184 -0.008933
0.747199 -0.009031
0.776788 -0.009038
0.806952 -0.008882
0.837690 -0.008487
0.869003 -0.007772
0.900891 -0.006659
0.933352 -0.005074
0.966389 -0.002950
1.000000 -0.001348
